Demand,Temperature,Humidity,hour,dayofweek,month,year,dayofyear
9700,22.1,65.6,9,4,4,2024,121
10100,22.8,64.4,10,4,4,2024,121
10400,23.4,63.3,11,4,4,2024,121
10600,23.8,62.5,12,4,4,2024,121
10500,24.1,61.9,13,4,4,2024,121
10300,24.3,61.4,14,4,4,2024,121
10000,24.0,62.0,15,4,4,2024,121
9700,23.5,62.8,16,4,4,2024,121
10100,22.9,63.6,17,4,4,2024,121
10500,22.2,64.5,18,4,4,2024,121
10300,21.6,65.2,19,4,4,2024,121
9900,21.1,65.9,20,4,4,2024,121
9400,20.7,66.6,21,4,4,2024,121
8900,20.3,67.2,22,4,4,2024,121
8400,19.9,67.8,23,4,4,2024,121
7600,19.5,68.5,0,5,4,2024,122
7300,19.1,69.3,1,5,4,2024,122
7100,18.7,70.1,2,5,4,2024,122
6900,18.3,71.0,3,5,4,2024,122
6800,18.0,71.8,4,5,4,2024,122
7000,18.4,71.2,5,5,4,2024,122
7600,19.2,69.9,6,5,4,2024,122
8300,20.0,68.6,7,5,4,2024,122
9000,20.8,67.3,8,5,4,2024,122
9500,21.5,65.9,9,5,4,2024,122
9900,22.2,64.7,10,5,4,2024,122
10200,22.8,63.6,11,5,4,2024,122
10400,23.2,62.8,12,5,4,2024,122
10300,23.5,62.2,13,5,4,2024,122
10100,23.7,61.7,14,5,4,2024,122
9800,23.4,62.3,15,5,4,2024,122
9500,22.9,63.1,16,5,4,2024,122
9900,22.3,63.9,17,5,4,2024,122
10300,21.6,64.8,18,5,4,2024,122
10100,21.0,65.5,19,5,4,2024,122
9700,20.5,66.2,20,5,4,2024,122
9200,20.1,66.9,21,5,4,2024,122
8700,19.7,67.5,22,5,4,2024,122
8200,19.3,68.1,23,5,4,2024,122
7200,18.9,68.8,0,6,4,2024,123
6900,18.5,69.6,1,6,4,2024,123
6700,18.1,70.4,2,6,4,2024,123
6500,17.7,71.3,3,6,4,2024,123
6400,17.4,72.1,4,6,4,2024,123
6600,17.8,71.5,5,6,4,2024,123
7200,18.6,70.2,6,6,4,2024,123
7900,19.4,68.9,7,6,4,2024,123
8600,20.2,67.6,8,6,4,2024,123
9100,20.9,66.2,9,6,4,2024,123
9500,21.6,65.0,10,6,4,2024,123
9800,22.2,63.9,11,6,4,2024,123
10000,22.6,63.1,12,6,4,2024,123
9900,22.9,62.5,13,6,4,2024,123
9700,23.1,62.0,14,6,4,2024,123
9400,22.8,62.6,15,6,4,2024,123
9100,22.3,63.4,16,6,4,2024,123
9500,21.7,64.2,17,6,4,2024,123
9900,21.0,65.1,18,6,4,2024,123
9700,20.4,65.8,19,6,4,2024,123
9300,19.9,66.5,20,6,4,2024,123
8800,19.5,67.2,21,6,4,2024,123
8300,19.1,67.8,22,6,4,2024,123
7800,18.7,68.4,23,6,4,2024,123
